feature,coef,odds_ratio
A9_t,1.7674432768408121,5.855862386681581
A15,1.4448984874187254,4.24142156331502
A6_x,1.2338178828936133,3.434316356087747
A13_p,0.9992020722991527,2.716113701208839
A14_00232,0.9414982075864925,2.5638196764472534
A14_00431,0.9406095177398907,2.561542248045912
A14_00500,0.9225075733720198,2.5155905154129843
A2_41.50,0.8782595911270811,2.406707404394478
A2_36.75,0.8559003368661278,2.3534923629215254
A2_18.00,0.850655771778984,2.341181629481176
A14_00290,0.8221266153800912,2.275333455208576
A2_21.25,0.8196201707002951,2.269637598931244
A2_23.92,0.7828594809571493,2.18771907095408
A2_16.17,0.7796474130207705,2.180703242363575
A2_22.08,0.7781684827445303,2.1774805179946735
A2_18.08,0.7675101077871146,2.154395357858702
A14_00000,0.7374137392901642,2.0905218823724385
A14_00216,0.7240001269894619,2.062667662825074
A6_cc,0.7221266805981076,2.0588069830530698
A2_48.08,0.7178603052410065,2.0500420502171814
A7_n,0.7025649505505864,2.018924513464133
A2_34.17,0.6937558251091112,2.0012176596216875
A2_41.00,0.6930622575706958,1.999830161233211
A14_00150,0.6860019585124166,1.9857604887220914
A14_00370,0.620919468122706,1.860638052953102
A2_54.42,0.5809832465579641,1.7877954105201055
A2_23.17,0.5771455675877407,1.7809475739736937
A2_19.17,0.559444805685704,1.7497008066420978
A11,0.5590846797889032,1.7490708075162817
A2_23.33,0.5510492286069658,1.7350725509029836
A2_73.42,0.5495379789030257,1.7324524033713817
A14_00711,0.5314348587141735,1.701371786180645
A14_00128,0.5285446881048039,1.6964616304604023
A2_25.75,0.526497881689011,1.6929928530799407
A6_w,0.5091422810929416,1.6638634555892737
A2_20.08,0.5036440962320028,1.6547403300252042
A2_44.33,0.503547805351587,1.6545810012930415
A2_20.50,0.5011974480564217,1.6506967112890103
A4_l,0.4990826928321916,1.6472095803090137
A5_gg,0.4990826928321916,1.6472095803090137
A2_37.58,0.49634592769745567,1.642707717640286
A2_71.58,0.4946791550215395,1.6399719778635145
A2_39.92,0.49434661903379407,1.6394267188261316
A7_j,0.48533874856512244,1.6247252889960269
A2_18.83,0.4791881932648832,1.6147629944855695
A2_35.17,0.4732147348053238,1.6051460266909918
A2_33.67,0.47277758916968077,1.6044444974572472
A2_25.08,0.45267471878121235,1.5725125944997511
A2_25.58,0.4493357444397043,1.567270771321546
A2_38.67,0.4333474844803274,1.5424120918559747
A2_26.08,0.43043949242692053,1.5379332850732668
A14_00060,0.4243659239933708,1.5286208505010563
A2_21.00,0.4166461077361851,1.5168656109329997
A14_00020,0.410745194900246,1.507941076525454
A2_41.33,0.4063641856838372,1.5013492228006056
A2_24.33,0.38897488040594763,1.4754674877232163
A10_t,0.38408554712887205,1.4682710426816177
A2_28.25,0.37936184878236834,1.4613517284278046
A2_20.17,0.3770630024892363,1.4579961638652852
A2_36.67,0.37233851498266396,1.4511241254168052
A14_00228,0.3669760182584473,1.443363304334387
A14_00164,0.3584999588525939,1.4311809732387597
A2_42.00,0.35772898633306505,1.430077997274633
A2_18.92,0.35035952854361485,1.419577835608171
A14_00040,0.34258721136175,1.4085871931129081
A2_48.50,0.3360516001302985,1.399411232749896
A2_37.50,0.33157195601743117,1.3931563886571556
A2_27.00,0.3314713311550043,1.3930162095400784
A2_32.08,0.3301990788646915,1.391245068385145
A14_00393,0.32051229192242725,1.3778334365054197
A7_h,0.30892331925270655,1.3619579305473095
A2_56.75,0.3028924747377946,1.3537688922609792
A14_00371,0.29920060312656865,1.3487801658545038
A2_26.00,0.29829615567105133,1.3475608165672461
A14_00560,0.2903096224923167,1.3368413401007644
A2_26.67,0.28848407494152106,1.3344030989063065
A2_38.25,0.2854769767177702,1.3303964449380603
A2_32.00,0.2835404936767576,1.3278226476463217
A14_00070,0.2793428061172079,1.322260545188442
A2_32.67,0.278379628991622,1.3209875872176626
A14_00487,0.27588398732514186,1.3176949858396165
A14_00100,0.27089585797323046,1.3111385186516162
A2_59.67,0.2704200490305777,1.3105148156128938
A14_00230,0.2691722901151436,1.3088806288155
A2_18.50,0.2684559693979263,1.3079433862279324
A14_00349,0.26098143975938903,1.2982035702394588
A2_23.25,0.2582548962120936,1.2946687827377856
A2_48.58,0.2513869444935552,1.2858075242254456
A14_00050,0.24691260691736502,1.2800672388678536
A2_64.08,0.24667055803039092,1.2797574375124827
A2_22.83,0.2436918057740608,1.2759510291462022
A6_q,0.23853449451978664,1.269387492193178
A14_00052,0.23642894276825185,1.2667175429801363
A2_42.50,0.23642894276825185,1.2667175429801363
A2_21.83,0.23455079403779586,1.2643406917736637
A2_34.92,0.23154248536156033,1.2605428800600054
A2_34.50,0.22905449951243403,1.2574105654052385
A14_00195,0.22905449951243403,1.2574105654052385
A2_21.33,0.2283589663838694,1.2565362987767388
A14_00181,0.22809814120740843,1.2562086052121044
A14_00260,0.22757689703182787,1.2555539844167831
A2_24.42,0.2272370533381119,1.2551273648091568
A14_00380,0.22416203070994878,1.2512737477775022
A2_20.75,0.2240623726644587,1.2511490544948733
A14_00274,0.223206027179823,1.2500780972715884
A14_00239,0.2231404974495393,1.2499961826749908
A2_13.75,0.22196124384708962,1.248522988978733
A14_00156,0.22036039014552755,1.246525885292259
A2_50.08,0.22036039014552755,1.246525885292259
A2_19.33,0.20666933432389775,1.2295759259976675
A2_49.83,0.2053220640125319,1.227920470280577
A2_46.00,0.20505419582025744,1.2275915934937278
A14_00024,0.2032458097235607,1.2253736399862154
A2_56.00,0.2032458097235607,1.2253736399862154
A2_28.42,0.1984921855415568,1.2195624971565613
A2_48.17,0.1946422196673729,1.2148762498954782
A8,0.19459043965880235,1.2148133452214627
A2_48.25,0.19414723681232512,1.214275055783439
A14_00088,0.19245583356927953,1.2122229629635894
A2_20.25,0.1918020023339627,1.2114306327795734
A14_00491,0.18339844572347042,1.2012929627791176
A14_00225,0.18276291368080191,1.2005297451589545
A2_20.83,0.1780553885092054,1.1948915026609332
A14_00029,0.17740823309868387,1.1941184723223623
A14_00300,0.17528879694762514,1.1915902945655257
A2_34.42,0.1739600390607599,1.1900080110323779
A2_17.58,0.1702681344331641,1.1856227149779923
A12_f,0.16996018367357418,1.1852576577750342
A14_00396,0.16773786953654599,1.182626567563469
A2_26.17,0.1659405613110998,1.180502932091375
A14_00049,0.16322442324424388,1.1773008737243713
A2_29.92,0.16321926710948031,1.1772948034180588
A2_40.00,0.16008993427998405,1.173616414592969
A2_48.33,0.15787340388961338,1.1710179390072988
A14_00312,0.15726413449186516,1.1703046909150288
A14_00073,0.15617050856858433,1.1690255149643902
A14_00168,0.14924035124357246,1.1609519919334057
A2_42.17,0.14913607553777503,1.1608309391565914
A6_e,0.148297889187636,1.159858354169243
A2_28.33,0.147960346157357,1.1594669181326518
A14_00145,0.14754022365662148,1.1589799023018035
A14_00350,0.14729696340259232,1.1586980028452116
A2_40.83,0.1467110046840112,1.158019252527496
A14_00154,0.1456035211263334,1.1567374751505426
A14_00422,0.14479163180073354,1.1557987134788033
A2_65.17,0.14129612700634636,1.1517656664086757
A2_43.08,0.1411217285767265,1.1515648177995141
A2_54.58,0.13855281818458565,1.1486103474813831
A14_00030,0.13855281818458565,1.1486103474813831
A14_00080,0.13534676621889802,1.1449337398658175
A14_00330,0.13471041125568817,1.1442053873678495
A14_00056,0.1317149170828513,1.1407830551446212
A2_29.25,0.13090618158356318,1.1398608363567402
A6_c,0.13089550265006517,1.1398486639236662
A2_76.75,0.129699990603943,1.1384867753544907
A14_00110,0.12902068045974932,1.1377136523638378
A14_00840,0.1285090243298227,1.1371316830962723
A2_31.67,0.12347401748753925,1.1314206070101496
A14_00102,0.12255377324600243,1.1303799026363393
A2_20.42,0.12038471697067513,1.1279307022020586
A2_22.33,0.11678988590106486,1.1238832611615097
A2_37.42,0.11643938440347924,1.1234894074225559
A2_47.00,0.11605305772089926,1.1230554573155225
A14_00092,0.11580341187712569,1.1227751261814836
A2_44.00,0.11319408662934759,1.1198492596259808
A14_00211,0.10893124095437115,1.1150856754785925
A14_00250,0.10889455909134484,1.1150447728087796
A2_30.83,0.1086660323290403,1.1147899843511246
A14_00202,0.1086660323290403,1.1147899843511246
A2_30.00,0.10832226124815682,1.1144068176578337
A14_00099,0.10832226124815682,1.1144068176578337
A14_00240,0.10653187126889867,1.1124133799066656
A2_24.50,0.10260802466215384,1.1080569929272055
A2_27.75,0.10090579512863973,1.1061724300234013
A14_00204,0.10046197360590362,1.1056815958205481
A14_00144,0.09902660556599954,1.1040956742584462
A2_67.75,0.09809318789915378,1.1030655726825014
A14_00510,0.09626599906215019,1.1010519038184874
A2_41.75,0.09626599906215019,1.1010519038184874
A2_16.08,0.09518044825847555,1.0998573045558162
A2_60.92,0.09142238506604201,1.0957317282463457
A2_24.17,0.08649901467215375,1.090350293364744
A2_28.00,0.08265764666045806,1.0861698909987698
A2_22.58,0.0810914930008911,1.0844701134529222
A14_00333,0.08105479805268417,1.0844303196083982
A2_47.25,0.08105479805268417,1.0844303196083982
A2_30.67,0.07912858809463363,1.0823434896095465
A2_39.08,0.07889656336730391,1.0820923882884772
A2_22.42,0.07841632784321212,1.081572853842705
A2_28.67,0.07775948981526823,1.0808626689260725
A14_00434,0.07748022275240367,1.0805608617275282
A2_33.17,0.07698477194907825,1.08002562958209
A2_65.42,0.07502293675057221,1.0779088743280827
A14_00022,0.07502293675057221,1.0779088743280827
A2_41.42,0.07364324702046898,1.0764227199758805
A14_00470,0.07364324702046898,1.0764227199758805
A2_36.25,0.07200404957552206,1.0746596959706012
A2_51.33,0.07184711214003835,1.0744910548672952
A2_57.83,0.07033954363391993,1.0728724064111559
A2_59.50,0.06995885673857728,1.0724640556774785
A2_44.17,0.06709688698174616,1.0693990840050225
A2_41.92,0.06650508972490035,1.0687664037883082
A2_27.42,0.06598038310754561,1.0682057620829033
A14_00093,0.06567392694246962,1.0678784539968953
A2_20.33,0.06466186132928717,1.066798237651659
A2_24.75,0.06350052120598515,1.0655600411775932
A2_56.50,0.06346698775385594,1.065524309870062
A2_41.17,0.060090231444024075,1.0619323619129863
A14_00381,0.05985001629075328,1.0616773003039646
A2_33.58,0.058429361442351085,1.0601700941631993
A2_47.67,0.05769501749064418,1.0593918504510247
A14_00410,0.05760450518999656,1.0592959667967434
A2_58.67,0.057297581731218454,1.0589708939035447
A14_00043,0.057297581731218454,1.0589708939035447
A14_00515,0.05513267746109043,1.056680803101505
A2_45.83,0.0542461120707994,1.0557444016247948
A1_a,0.054146248645393844,1.0556389766366334
A2_39.17,0.054145833570400086,1.0556385384673828
A14_00395,0.0536341403998598,1.0550985136119881
A14_00096,0.05324964675720304,1.0546929129215679
A2_19.67,0.05097054055880329,1.0522918928954386
A14_00032,0.05085617419583246,1.0521715529804148
A2_21.92,0.04998209925694141,1.0512522780106748
A2_29.67,0.049562935065817944,1.0508117230387803
A2_46.67,0.04907696864655348,1.0503011878899307
A2_30.17,0.04826595552489723,1.0494497251652521
A2_53.92,0.047607582112780926,1.0487590227638481
A2_23.50,0.04753634513346157,1.0486843150000418
A14_00311,0.047508286179329534,1.0486548904277615
A2_57.42,0.04674552039180355,1.0478553173366874
A14_00520,0.04629552030122375,1.0473838884284523
A1_b,0.04576574352420717,1.0468291557229685
A14_00399,0.044684829809047165,1.04569823505506
A2_60.08,0.043704010096713236,1.044673096433232
A2_43.00,0.04316090098317985,1.0441058789983175
A14_00121,0.040405499108356495,1.04123290761487
A7_dd,0.03986967146909354,1.0406751356922113
A2_38.17,0.03986099933481797,1.0406661108568298
A2_47.75,0.03947909300810505,1.0402687497672845
A2_30.50,0.038799924355587524,1.0395624717103558
A14_00383,0.03569529830617939,1.0363400238168843
A2_39.58,0.03568212352321208,1.036326370351931
A2_51.58,0.03554770088054913,1.0361870739850696
A14_00117,0.03457334144639766,1.0351779470400029
A2_56.58,0.033467831533920446,1.034034179897817
A14_00432,0.033372514494377135,1.0339356235181285
A2_32.83,0.03337067122493769,1.0339337176979477
A14_00583,0.03246797107029751,1.0330008067038932
A2_31.92,0.03183752024223584,1.0323497557392927
A2_46.08,0.031194664676347527,1.0316863172232915
A2_33.50,0.029664770683616445,1.0301091532786335
A14_00253,0.029664770683616445,1.0301091532786335
A2_54.33,0.028712712228575424,1.029128895854867
A2_36.00,0.02711189404372096,1.0274827655330339
A2_55.92,0.02547221284152873,1.0257994018238794
A2_27.58,0.0248175056454264,1.0251280233758802
A2_51.42,0.024779349192287442,1.0250889088727348
A14_00408,0.024769136872288825,1.0250784403902242
A2_39.00,0.024581873775753903,1.024886498999616
A14_00519,0.024454565929615552,1.0247560312118549
A2_47.42,0.024429817275675027,1.024730670193292
A2_28.08,0.023207871876701244,1.023479269992731
A2_60.58,0.022146180137672243,1.0223932271300948
A14_00021,0.022146180137672243,1.0223932271300948
A2_32.17,0.021911935153289378,1.022153764692105
A2_68.67,0.02064474119679652,1.020859317949642
A14_00186,0.019811921057707477,1.0200094796808092
A2_40.25,0.019336191130001703,1.0195243460502246
A2_39.33,0.015954552150610993,1.0160825055920353
A14_00303,0.014579458396194405,1.0146862570909323
A2_49.50,0.013972668295381468,1.014070742277732
A2_58.33,0.013922509229518716,1.0140198787122259
A2_52.83,0.013421453236314856,1.0135119252419615
A2_39.25,0.012903964013933988,1.0129875794272498
A2_29.58,0.01020962537787691,1.0102619214258843
A2_58.42,0.010009952677418475,1.0100602198376833
A14_00455,0.009939494259866587,1.0099890551000683
A2_31.33,0.005069037679934931,1.0050819069872479
A2_17.83,0.004435924417476436,1.0044457776942717
A2_33.08,0.003705156976300412,1.0037120295557838
A2_35.42,0.0029929099435259798,1.0029973931700062
A2_25.50,0.0026319397143306834,1.0026354063082823
A6_r,0.002572265789264742,1.002575576903323
A2_42.08,0.0022063445935099867,1.0022087803627953
A2_56.42,0.0007464281064634907,1.000746706753248
A2_18.75,2.6825774923568417e-05,1.0000268261347378
A14_00375,-2.4748653940525266e-05,0.9999752516523048
A14_00450,-8.648357002487782e-05,0.9999135201695712
A2_17.50,-8.648357002487782e-05,0.9999135201695712
A2_26.58,-0.001976025948938941,0.9980259251050139
A2_25.17,-0.0038735495077254893,0.996133943007837
A2_49.17,-0.006774887252972355,0.9932480105564662
A2_51.83,-0.008057370411720987,0.9919750031902039
A2_24.83,-0.008466704982274479,0.9915690366220172
A14_00411,-0.00972385747546265,0.9903232663611257
A2_27.33,-0.010381167527830035,0.989672530813991
A2_31.58,-0.01219302046321786,0.9878810132072814
A14_00141,-0.012344907624394672,0.987730978159092
A2_22.75,-0.01243422737530993,0.987642758214102
A14_00076,-0.012780077407583983,0.9873012409945733
A2_38.75,-0.012780077407583983,0.9873012409945733
A14_00086,-0.013031214431760264,0.9870533242307865
A14_00062,-0.013080575654029293,0.9870046032747306
A2_53.33,-0.013080575654029293,0.9870046032747306
A2_22.92,-0.013374877397203278,0.9867141688392428
A2_26.33,-0.013737656743570694,0.9863562742403292
A7_v,-0.013844474977842663,0.9862509190317807
A2_28.17,-0.013845592771751519,0.986249816607127
A2_32.75,-0.01395115176590992,0.9861457145630472
A2_31.25,-0.014141777090551498,0.9859577481322148
A14_00480,-0.015071587716727581,0.9850414202127766
A2_50.75,-0.015097705518906605,0.9850156934317903
A2_56.83,-0.015120240288919467,0.9849934965797812
A14_00224,-0.015260108294722616,0.9848557371379792
A2_52.17,-0.015706638396701198,0.9844160675753936
A14_00178,-0.01739422342299335,0.9827561827524364
A2_45.00,-0.019485681694914356,0.9807029370919895
A2_17.25,-0.019817162286721698,0.9803779069755789
A2_32.25,-0.02122975822815067,0.9789940067991275
A2_51.92,-0.02170055729376592,0.9785332058163311
A14_00045,-0.02185536956596678,0.9783817285928837
A2_39.42,-0.02211884478990876,0.9781239832040951
A2_36.42,-0.022633973605508353,0.9776202531092002
A2_44.83,-0.023983909238478776,0.9763014190648286
A2_31.75,-0.02497904288782115,0.975330351921748
A14_00220,-0.025069858353711037,0.9752417808633135
A2_42.83,-0.02603662893908699,0.9742994014017163
A2_32.42,-0.02642730833035006,0.9739188370488341
A2_74.83,-0.027412329857043727,0.9729599783548449
A2_35.58,-0.028144407795511032,0.9722479564792331
A14_00231,-0.028144407795511032,0.9722479564792331
A2_21.42,-0.02861675840713741,0.9717888230068625
A2_26.83,-0.0288525592821232,0.9715597013666993
A14_00017,-0.029313844022193777,0.9711116390524904
A2_69.50,-0.02980048038743288,0.9706391757824486
A2_58.58,-0.03007469541764839,0.9703730484212619
A14_01160,-0.030697228414672696,0.969769147172927
A2_34.75,-0.031090850345183454,0.9693874998863655
A2_26.92,-0.031760876616153726,0.9687382023421887
A2_30.33,-0.0319494741085473,0.9685555179738894
A14_00550,-0.03276295031483277,0.9677679414863489
A14_00356,-0.03279792054130277,0.9677340990140076
A14_00309,-0.0329815857603756,0.9675563762399537
A2_50.25,-0.03319643955158299,0.9673485154149544
A2_36.08,-0.03322809010508166,0.9673178987835346
A2_27.17,-0.033332663660649346,0.9672167482004248
A2_26.75,-0.034739477604514575,0.9658570108652955
A2_25.25,-0.03505698883328198,0.9655503890994649
A14_00170,-0.03519920970627753,0.965413077444729
A6_m,-0.03546510599695822,0.9651564118131938
A14_00221,-0.036268501057872805,0.9643813213125628
A2_34.08,-0.03672929841803902,0.9639370393153555
A2_21.75,-0.037629777771747704,0.9630694246063695
A2_69.17,-0.03795535809721138,0.9627559191880295
A14_00352,-0.03954590047335516,0.9612258322573
A2_38.33,-0.040087163773770446,0.960705696768712
A2_36.58,-0.040507528973913166,0.9603019343959825
A2_19.00,-0.0406887493131381,0.9601279239212678
A2_15.92,-0.041309549976278,0.9595320608446317
A2_15.75,-0.04147872398031883,0.9593697466939476
A14_00256,-0.041493187965616254,0.9593558704843895
A2_28.92,-0.04276873369054232,0.958132948317491
A14_00280,-0.043602967956703854,0.9573339742925577
A2_26.50,-0.04367513262211869,0.9572648910993254
A2_18.33,-0.04392399012199781,0.9570266981910794
A2_17.42,-0.04428887875206127,0.9566775537335376
A14_00372,-0.044292092296263894,0.9566744794128708
A2_21.58,-0.044869676573749614,0.9561220788191959
A2_40.58,-0.04557626244452804,0.9554467350898294
A2_45.33,-0.04645698870605813,0.9546056185098427
A14_00263,-0.04645698870605813,0.9546056185098427
A2_42.25,-0.047745743553962584,0.953376158297722
A14_00292,-0.04778006395297008,0.9533434386090447
A14_00640,-0.04833930061422968,0.9528104430566208
A14_00210,-0.0490479823170846,0.9521354429377048
